regime,ticker,observations,annualized_return,annualized_volatility,max_drawdown,sharpe_ratio_rf0,win_rate,conditional_cumulative_return
Calm / easing,GLD,619,0.200157814271794,0.1486567573567865,-0.10127740838500265,1.3464427573339395,0.5573505654281099,0.5908175571077479
Calm / easing,IEF,619,0.004575508961137328,0.06776208719456647,-0.04385618636311128,0.06752314089735148,0.4894991922455573,0.005626159675255371
Calm / easing,SPY,619,0.11318625313865835,0.1144455762900414,-0.05658029466899206,0.988996314298846,0.568659127625202,0.2993736371407354
Tightening,GLD,108,0.14048097896757042,0.14276731680404273,-0.05886614412466051,0.9839855655506193,0.49074074074074076,0.057460587405818275
Tightening,IEF,108,-0.00984034187999061,0.08205259680879047,-0.04100629725875571,-0.11992724499532711,0.49074074074074076,-0.005630021079219172
Tightening,SPY,108,-0.06361492870756122,0.13813600576230747,-0.049681180230009,-0.4605238754117757,0.5185185185185185,-0.03084424140358699
Elevated risk,GLD,322,0.3150540141901176,0.16192847426106122,-0.077461937199095,1.9456368969560427,0.5527950310559007,0.47062168433894347
Elevated risk,IEF,322,-0.010620587153702158,0.09270711317924218,-0.06929015218107892,-0.1145606500891475,0.5062111801242236,-0.018863163523923254
Elevated risk,SPY,322,0.13145648991607345,0.2232749587262653,-0.13344762369286778,0.5887650395996216,0.5217391304347826,0.1458036816979602
Stress,GLD,62,-0.22120406996703704,0.22893680664582852,-0.06589731856912096,-0.9662232701150836,0.43548387096774194,-0.05896147121502282
Stress,IEF,62,-0.20865810726745648,0.11062677415487772,-0.03536390502011666,-1.886144731792818,0.43548387096774194,-0.05146497875432954
Stress,SPY,62,0.6679367205866552,0.36394716536334903,-0.07493949020628199,1.8352573784159474,0.4838709677419355,0.1599503127863784
