regime,ticker,observations,annualized_return,ci_2_5,ci_97_5,bootstrap_samples,block_size_trading_days,seed
Calm / easing,SPY,619,0.1131863221050475,-0.02402779987755848,0.2479322704213964,5000,5,20260715
Calm / easing,IEF,619,0.004574188842986804,-0.08083038695736731,0.08965731282265581,5000,5,20260715
Calm / easing,GLD,619,0.2001578142717927,0.02855323916026814,0.3710540941305354,5000,5,20260715
Tightening,SPY,108,-0.06361811714711246,-0.47912185230206555,0.3585159478444234,5000,5,20260715
Tightening,IEF,108,-0.009832793068264114,-0.2662102185809428,0.23798502171633332,5000,5,20260715
Tightening,GLD,108,0.14048097896757122,-0.31548793257546176,0.587683174598813,5000,5,20260715
Elevated risk,SPY,322,0.1314571007654947,-0.26035155473660315,0.49052184846800384,5000,5,20260715
Elevated risk,IEF,322,-0.010621183536957925,-0.16495296979364238,0.15268962415034334,5000,5,20260715
Elevated risk,GLD,322,0.315054014190116,0.0360597423973352,0.5983992513539459,5000,5,20260715
Stress,SPY,62,0.6679405293124097,-0.36666053694511,1.7152671060537499,5000,5,20260715
Stress,IEF,62,-0.20865931517451244,-0.6566894126887626,0.21901070190516173,5000,5,20260715
Stress,GLD,62,-0.22120406996703484,-1.2268304776879293,0.8612912324981227,5000,5,20260715
